tj,pers
Бар асоси гузоришҳо давлати Бритониё пас аз соли,براساس گزارشها دولت بریتانیا پس از سال
ба Ожонси амнияти миллии Омрико,به آژانس امنیت ملی آمریکا
"Бар асоси қарордоди мубодилаи иттилоъотӣ байни Омрико ва Бритониё, ки",بر اساس قرارداد مبادله اطلاعاتی بین آمریکا و بریتانیا که
"Ҳасани Рӯҳонӣ, ки дар ҳамоиши иқтисоди Эрон сухан мегуфт, таъкид кард",حسن روحانی که در همایش اقتصاد ایران سخن می‌گفت ، تاکید کرد
Созмони иттилъоти марказии Омрико,سازمان اطلاعات مرکزی آمریکا
ва вазорати дифоъи ин кишвар ёфтаҳои ин гузоришро рад кардаанд,و وزارت دفاع این کشور یافته‌های این گزارش را رد کرده‌اند
Вале акнун дигар на,ولی اکنون دیگر نه
пойгоҳ ва ниҳоди,پایگاه و نهاد
Кумисиюни мустақилли баррасии осори зистмуҳитии Улампики,کمیسیون مستقل بررسی آثار زیست‌محیطی المپیک
номуносиб,نامناسب
мақоми рус ва укройнӣ вазъ кардаанд,مقام روس و اوکراینی وضع کرده‌اند
"Кумитеи хонавода ва масоили занони Тоҷикистон гуфтааст, ки дар соли",کمیته خانواده و مسائل زنان تاجیکستان گفته است که در سال
нафар зери синни қонунӣ,نفر زیر سن قانونی
дар Тоҷикистон руспӣ будаанд ва,در تاجیکستان روسپی بوده‌اند و
руспихона ҳам кашф шудааст,روسپی‌خانه هم کشف‌شده‌است
"Оқои Нур таъкид кард, ки",آقای نور تاکید کرد که
сандуқи боқимонда аз вилояти Ғур низ базудӣ ба Кобул хоҳад расид,صندوق باقی مانده از ولایت غور نیز به زودی به کابل خواهد رسید
дар ин тонкерҳо,در این تانکرها
бумби часпӣ,بمب چسپی
зада буданд,زده بودند
Эллен Мейсон меафзояд,الین میسون می‌افزاید
Буту,بوتو
То ҳамин ҳоло ҳам бар мабнои омори расмии қиматҳо беш аз,تا همین حالا هم بر مبنای آمار رسمی قیمت‌ها بیش از
дарсад ба нисбати соли қабл боло рафта,درصد به نسبت سال قبل بالا رفته
Ва тоза ин ниме аз кобуси як буҳрони иқтисодии тамом айёр аст,و تازه این نیمی از کابوس یک بحران اقتصادی تمام‌عیار است
дарсад кучак шавад,درصد کوچک شود
Ба гуфтаи оқои Кершув аз замоне ки гурӯҳи Доъиш ташкили давлати,به گفته آقای کرشوو از زمانی که گروه داعش تشکیل دولت
Мулдовӣ ин иёлатро,مولداوی این ایالت را
таъриф кардааст,تعریف کرده است
сола ва Ҳашом Фулкорди,ساله و هشام فولکارد
сола дар байни,ساله در بین
"нафар исломгарое будаанд, ки бо",نفر اسلامگرایی بوده‌اند که با
"гаравгони Туркия, ки дар дасти Доъиш асир буданд, мубодила шудаанд",گروگان ترکیه که در دست داعش اسیر‌بودند ، مبادله شده‌اند
Вазири хориҷаи Арабистон ҳамчунин Эронро,وزیر خارجه عربستان همچنین ایران را
бахше аз мушкилоти минтақа,بخشی از مشکلات منطقه
"Ба гуфтаи женерол Куликов, нерӯҳои Шӯравӣ бори дигар дар соли",به گفته ژنرال کولیکوف ، نیروهای شوروی بار دیگر در سال
Дар соли қабл аз он имтиёзи Эрон,در سال قبل از آن ، امتیاز ایران
"Бо ин ҳама, дар муқоиса бо имтиёзи",با اینهمه ، در مقایسه با امتیاز
дар соли гузашта фасоди идорӣ  ва ҳукуматӣ бештар будааст,در سال گذشته فساد اداری و حکومتی بیشتر بوده است
Ӯ ба сандалии чархдор дар ҷаласоти додгоҳ ширкат карда буд,او با صندلی چرخدار در جلسات دادگاه شرکت کرده بود
Пулиси Флуридо мегӯяд як марди,پلیس فلوریدا می‌گوید یک مرد
Рақобат алайҳи ҳамдигарро канор бигзоред,رقابت علیه همدیگر را کنار بگذارید
"Ӯ чанд рӯз қабл гуфт, ки қудратҳо дар музокира бо Эрон кӯтоҳ омадаанд",او چند روز قبل گفت که قدرت‌ها در مذاکره با ایران کوتاه آمده اند
сабти вақоеъ ва ҷиноёти салфиҳо,ثبت وقایع و جنایات سلفی‌ها
нафар дар даргириҳои шарқи Укройн кушта шудаанд,نفر در درگیری‌های شرق اوکراین کشته شده‌اند
килуметрро омодаи партоб кардааст,کیلومتر را آماده پرتاب کرده است
аҳамияти азими намодин,اهمیت عظیم نمادین
нобудии Укройн ба унвони як кишвар,نابودی اوکراین به عنوان یک کشور
кард,کرد
Омрико гуфта Эрон ба шарте метавонад дар конфаронси,آمریکا گفته ایران به شرطی می‌تواند در کنفرانس
"ширкат кунад, ки меҳварҳои тавофуқшуда дар эъломияи Женевро бипазирад",شرکت کند که محورهای توافق‌شده‌در اعلامیه ژنو را بپذیرد
"метр ва бо суръате, ки гоҳе ба беш аз",متر و با سرعتی که گاهی به بیش از
атумӣ шудани,اتمی شدن
Эрон шуда буд,ایران‌شده‌بود
"Ӯ гуфт, ки набард алайҳи эбуло",او گفت که نبرد علیه ابولا
Ин нерӯгоҳ бо ҳудуди,این نیروگاه با حدود
милюн дулор сармояи Эрон ва,میلیون دلار سرمایه ایران و
мавриди баҳрабардорӣ қарор гирифт,مورد بهره‌برداری قرار گرفت
"сар медод, дар шаҳри Дижони Фаронса ба обирони пиёда кӯбид ва",سرمی داد در شهر دیژون فرانسه به عابران پیاده کوبیده و
"нафарро захмӣ карда, ки ҷароҳоти ду нафари онҳо бисёр шадид аст",نفر را زخمی کرده که جراحات دو نفر آن‌ها بسیار شدید است
то кунун қурбонии чандин ҳамлаи густардаи созмонёфта будаанд,تا کنون قربانی چندین حمله گسترده سازمان یافته بوده اند
дарсад бошад,درصد باشد
намедонем,نمیدانیم
Ҳамчунин,همچنین
нафар дар кишвари Укройн овора шудаанд ва,نفر در کشور اوکراین آواره شده‌اند و
ҳазор ва,هزار و
"бадеҳӣ аст, ки ин гузориш аз раванди маъмулии худ фаротар рафтааст",بدیهی است که این گزارش از روند معمولی خود فراتر رفته است
сарбозони муҳоҷим,سربازان مهاجم
-ро аз қабл ба истихдоми худ дароварда буданд,را از قبل به استخدام خود در آورده بودند
Ба гуфтаи ӯ ин музокирот мумкин аст то,به گفته او این مذاکرات ممکن است تا
Ҷабҳаи мардум,جبهه مردم
"шудаанд, аммо оқои Нетонёҳу ин назарро қобили қабул надонистааст",شده‌اند اما آقای نتانیاهو این نظر را قابل قبول ندانسته است
ва сипас,و سپس
Эрон имтиёзи,ایران امتیاز
-ро гирифт ва дар ниҳоят бо дифоъи хуби Муҳаммад Мусавӣ ба имтиёзи,را گرفت و در نهایت با دفاع خوب محمد موسوی ، به امتیاز
ва пирӯзӣ дар ин бозӣ расид,و پیروزی در این بازی رسید
Гарӣ Каспаров устоди бузург ва қаҳрамони шатранҷи ҷаҳон дар соли,گری کاسپاروف استاد بزرگ و قهرمان شطرنج جهان ، در سال
Афзоиши нархи баҳра мумкин аст ҷилави суқути арзиши рублро бигирад,افزایش نرخ بهره ممکن است جلوی سقوط ارزش روبل را بگیرد
Бо ин ҳол артиши Исройил ин аснодро нишон надод,با این حال ارتش اسرائیل این اسناد را نشان نداد
Хоркуф Укройн аст,خارکف اوکراین است
Оқои Берлускунии,آقای برلوسکونی
Рӯзи ҷумъа беш аз,روز جمعه بیش از
"Исҳоқ Левонун, сафири Исроил дар Қоҳира, акнун аз Миср хориҷ шудааст",اسحاق لوانون ، سفیر اسرائیل در قاهره اکنون از مصر خارج‌شده‌است
Давлати Баҳрайн мегӯяд дастикам,دولت بحرین می‌گوید دست کم
ҳуқуқвайронкунии маъмурӣ,حقوق ویران‌کنی ماموری
нақзи қонуни идорӣ,نقض قوانین اداری
муҷрим шинохта ва барои панҷ шабонарӯз маҳкум ба ҳабс кардааст,مجرم شناخته و برای پنج شبانه‌روز محکوم به حبس کرده است
"Мардум аз ман мепурсанд, ки ин чист, ки аз кифи ту овезон аст",مردم از من می‌پرسند که این چیست که از کیف تو آویزان است
"Ва ман ҷавоб медиҳам, ки он мавзеъи сиёсиам ба унвони як шаҳрванд аст",و من جواب می‌دهم که آن موضع سیاسی‌ام به عنوان یک شهروند است
Волии Қандаҳор ҳамчунин аз,والی قندهار همچنین از
таҳти кунтрул,تحت کنترل
будани авзоъ дар Қандаҳор хабар дод,بودن اوضاع در قندهار خبر داد
ҷосус истихдом намекарда,جاسوس استخدام نمی‌کرده
донишмандони ҳастаӣ,دانشمندان هسته ای
ифтиро,افترا
"Амалиёти Ҳилманд, ки аз он ба унвони",عملیات هلمند که از آن به عنوان
амалиёти муштарак,عملیات مشترک
ёд мешавад бо ширкати,یاد می‌شود ، با شرکت
ҳазор сарбози байналмиллалӣ ва афғон бомдоди шанбеи,هزار سرباز بین‌المللی و افغان بامداد شنبه
Ҳанӯз масъулияти ин инфиҷорро ҳеҷ фард ё гурӯҳе ба дӯш нагирифтааст,هنوز مسئولیت این انفجار را هیچ فرد یا گروهی به دوش نگرفته است
"Қозии додгоҳ ҳангоми эъломи раъй гуфт, ки Саъиди Муродӣ",قاضی دادگاه هنگام اعلام رای گفت که سعید مرادی
муҷрим шинохта шудааст,مجرم شناخته‌شده‌است
хуб,خوب
Дар Суэз низ раъйи содиршуда бо хашми гурӯҳе аз мардум рӯбарӯ шудааст,در سوئز نیز رای صادر‌شده‌با خشم گروهی از مردم رو به رو‌شده‌است
"Хабаргузории Руйтерз мегӯяд, ки ҳамла ба шаҳри Зулуъия бо юриши",خبرگزاری رویترز می‌گوید که حمله به شهر ضلوعیه با یورش
худрави ҳомили пайкорҷӯён сурат гирифтааст,خودروی حامل پیکارجویان صورت گرفته است
нерӯи ҳавоии Омрико бакоргирии онро таъйид кард,نیروی هوایی آمریکا به کارگیری آن را تایید کرد
тасовӣ,تساوی
шоистасолорӣ,شایسته سالاری
таъкид шудааст,تاکید‌شده‌است
Мақомҳои низомии Омрико вазъияти устони Анборро,مقام‌های نظامی آمریکا وضعیت استان انبار را
Дар ин ҷангҳо беш аз,در این جنگ‌ها بیش از
манофеъи муштараки,منافع مشترک
Эрон ва Омрикоро шарҳ додааст,ایران و آمریکا را شرح داده است
Раиси ҷумҳурии Эрон мегӯяд,رئیس جمهوری ایران می‌گوید
Мо пешниҳодамонро танзим кардаем,ما پیشنهادمان را تنظیم کرده ایم
Оқои Солеҳӣ гуфтугӯйи худ бо Юкио Омонуро,آقای صالحی گفتگوی خود با یوکیا آمانو را
бисёр самарбахш,بسیار ثمربخش
мусбат,مثبت
меконизми ҷадидеро,مکانیزم جدیدی
Ин гуруҳ,این گروه
"Мутаассифона, давлат мехоҳад аз ин тариқ мушкилотро пинҳон кунад",متاسفانه ، دولت می‌خواهد از این طریق مشکلات را پنهان کند
Аммо ин роҳи дуруст нест,اما این راه درست نیست
"Ин роҳест, ки мардумро ба хунрезӣ оварда буд",این راهیست که مردم را به خونریزی آورده بود
Бархе донишҷӯён хостори таътилии клоссҳои дарс дар Туркия шудаанд,برخی دانشجویان خواستار تعطیلی کلاس‌های درس در ترکیه شده‌اند
Дар соири таҳаввулот дар рӯзи душанбе,در سایر تحولات در روز دوشنبه
Ӯ ба хабаргузории Фаронса гуфт,او به خبرگزاری فرانسه گفت
"Муша Яълун, вазири дифоъи Исроил, гуфтааст системи Эс-",موشه یعلون ، وزیر دفاع اسرائیل ، گفته است سیستم اس
ҳанӯз барои ирсол ба Сурия аз хоки Русия хориҷ нашудааст,هنوز برای ارسال به سوریه از خاک روسیه خارج‌نشده‌است
Дар Ҳинд,در هند
дарсад мувофиқ ҳастанд,درصد موافق هستند
Авоили моҳи ҷории мелодӣ созмони,اوایل ماه جاری میلادی سازمان
Истондорд анд Пурз,استاندارد‌اند پورز
маъмури пулис кушта шудаанд,مامور پلیس کشته‌شده‌اند
"Ба гуфтаи таҳиякунандагони ин гузориш ҷанги дохилии Сурия, ки аз соли",به گفته تهیه‌کنندگان این گزارش ، جنگ داخلی سوریه که از سال
"шуруъ шуд, бештарин таъсирро дар афзоиши ҳамалоти терруристӣ доштааст",شروع شد ، بیش‌ترین تاثیر را در افزایش حملات تروریستی داشته است
Зирвак,زیروک
Бар асоси ин гузориш як сарбози дигар баъдан кушта шуд,بر اساس این گزارش یک سرباز دیگر بعدا کشته شد
Мутобиқи ин гузориш афроди гурӯҳи,مطابق این گزارش افراد گروه
"милёрд юру бо Фаронса имзо кард, ки шомили хариди",میلیارد یورو با فرانسه امضا کرد که شامل خرید
ҷети ҷангандаи пешрафта мешавад,جت جنگنده پیشرفته می‌شود
Созмони Афви Байналмилал дар гузорише ба вазъияти,سازمان عفو بین‌الملل در گزارشی به وضعیت
"Ин зиндониён, ки ағлаб беш аз",این زندانیان که اغلب بیش از
"сол дар ҳабс буданд, шомгоҳи сешанбеи",سال در حبس‌بودند ، شامگاه سه‌شنبه
август дар минибусҳое бо шишаҳои дудӣ аз зиндон берун бурда шуданд,اوت در مینی‌بوس‌هایی با شیشه‌های دودی از زندان بیرون برده شدند
дар ҳамин шабу рӯзҳо,در همین شب و روزها
ва пас аз интихобот ҷараён дорад,و پس از انتخابات جریان دارد
буҳрон савқ надиҳад,بحران سوق ندهد
Оқои Убомо ҳамчунин амалкарди моҳи аввали ҳукумати ваҳдати миллиро,آقای اوباما همچنین عمل‌کرد ماه اول حکومت وحدت ملی را
азми худ,عزم خود
барои тазмини иҷрои дақиқи ин паймон бо тарафи русӣ гуфтугӯ кунад,برای تضمین اجرای دقیق این پیمان با طرف روسی گفتگو کند
октябр кашида хоҳад шуд,اکتبر کشیده خواهد شد
Шибҳнизомиёни,شبه نظامیان
бунбаст,بن بست
расида ва наметавонанд кори худро идома диҳанд,رسیده و نمی‌توانند کار خود را ادامه دهند
ҳазор пунд баровард шудааст,هزار پوند برآورد‌شده‌است
алайҳи гурӯҳҳои теруристӣ,علیه گروه‌های تروریستی
тазалзулнопазир,تزلزل ناپذیر
барои мақосиди сиёсиро дорои собиқае тӯлонӣ дар Ғарб дониста ва аз,برای مقاصد سیاسی را دارای سابقه‌ای طولانی در غرب دانسته و از
"ҳаросҳои гуногуне, ки то кунун ба миллатҳои ғарбӣ илқо шуда",هراس‌های گوناگونی که تا کنون به ملت‌های غربی القا شده
ёд мекунад,یاد می‌کند
Ин марказ дар соли,این مرکز در سال
Оқои Завок гуфт,آقای زواک گفت
бозгардондани зиндагӣ ва шароити оддӣ,بازگرداندن زندگی و شرایط عادی
Оятуллоҳ Хоминаӣ гуфт,آیت‌الله خامنه‌ای گفت
истротежии таъомули муассиртар,استراتژی تعامل موثرتر
дар баробари Эронро бо Русия мавриди баррасӣ қарор хоҳад дод,در برابر ایران را با روسیه مورد بررسی قرار خواهد داد
истифода мешавад,استفاده می‌شود
шимиёӣ,شیمیایی
-ро рад кард,را رد کرد
"Ӯ ҳамчунин ин мавзӯъро, ки аз ин ҳамла огоҳ буда, такзиб кард",او همچنین این موضوع را که از این حمله آگاه بوده ، تکذیب کرد
мурдоди,مرداد
"курсии порлумон, Кнесет, қарор дорад ва Иттиҳоди Саҳюнист",کرسی پارلمان ، کنست ، قرار دارد و اتحاد صهیونیست
курсӣ ба даст хоҳад овард,کرسی به دست خواهد آورد
Он замон ӯ ба артиши рус пайваст,آن زمان او به ارتش روس ‌پیوست
нооромиҳоии ҷамъӣ,ناآرامی‌های جمعی
"хонда шуда, мумкин аст ба понздаҳ соли зиндон маҳкум шаванд",خوانده‌شده‌، ممکن است به پانزده سال زندان محکوم شوند
Ҳизби иродаи халқ аз гурӯҳҳои ташкилдиҳандаи,حزب اراده خلق از گروه‌های تشکیل دهنده
Ҷабҳаи мардумӣ барои тағйиру озодӣ,جبهبه مردمی برای تغییر و آزادی
"ширкат карда буд, гуфт",شرکت کرده‌بود گفت
Панҷараи диплумосӣ бо Эрон рӯ ба боз шудан аст,پنجره دیپلماسی با ایران رو به باز شدن است
доштам баланд баланд фикр мекардам,داشتم بلند بلند فکر می‌کردم
Идораи умури хориҷӣ,اداره امور خارجی
"дорад, ки ба гуфтаи ӯ бо кишварҳое чун Исроил ҳамкорӣ мекунад",دارد که به گفته او با کشورهایی چون اسرائیل همکاری می‌کند
Ба ҷуз он метавон ба бадафзорҳои,به جز آن می‌توان به بدافزارهای
Флим,فلیم
Исторс,استارس
ҳам ишора кард,هم اشاره کرد
ва ҷилавгирӣ аз,و جلوگیری از
асароти манфии ҷаҳонишавии фарҳангӣ ба ҷавонон,سرایت منفی جهانی‌شوی فرهنگی به جوانان
тадобири зарурӣ андешанд,تدابیر ضروری ‌بیاندیشند
"Усмон Абӯбакр, сухангӯйи пулиси иёлати Адомово гуфта, ки то ба ҳол",عثمان ابوبکر ، سخنگوی پلیس ایالت اداماوا ، گفته که تا به حال
"Дирӯз, шанбе",دیروز شنبه
гирди ҳам омада ва даст ба тазоҳурот бизананд,گرد هم آمده و دست به تظاهرات بزنند
"Таробулус, пойтахти Либӣ дар",طرابلس ، پایتخت لیبی در
тавҷеҳоти лозим,توجهات لازم
-ро ба истиқрори зерсохтҳо ва воҳидҳои низомӣ дар қутб нишон диҳанд,را به استقرار زیرساخت‌ها و واحدهای نظامی در قطب نشان دهند
"дарсади ороро касб карда бошанд, байни онҳо тақсим мешавад",درصد آرا را کسب کرده باشند بین آن‌ها تقسیم می‌شود
Хабари,خبر
адамаи тавофуқи,عدم توافق
"Омрико ахиран қавл дод, ки мизони кумакҳои",آمریکا اخیرا قول داد که میزان کمک‌های
"ба Артиши озоди Сурия, ки гароишҳои секулортаре дорадро афзоиш диҳад",به ارتش آزاد سوریه ، که گرایش‌های سکولارتری دارد ، را افزایش دهد
эҳсоси ҳамбастагии амиқ,احساس همبستگی عمیق
"Донишмандон ҳанӯз тавзеҳе барои ин рӯйдод надоранд, аммо",دانشمندان هنوز توضیحی برای این رویداد ندارند اما
Дар як калом мешавад гуфт Русия,در یک کلام می‌شود گفت روسیه
нашти,نشت
ҷиддии пул дорад,جدی پول دارد
"Ошкор аст, ки ин як мавзӯъи ҷиддӣ аст",آشکار است که این یک موضوع جدی است
тасмиме беарзиш,تصمیمی بی‌ارزش
аз сӯйи,از سوی
давлате ғайриқонунӣ,دولتی غیرقانونی
нафар кушта ва садҳо тани дигар захмӣ шудаанд,نفر کشته و صدها تن دیگر زخمی‌شده‌اند
Ожонс имкони бозрасӣ аз ин нерӯгоҳро надошта ва ба гуфтаи оқои Омону,آژانس امکان بازرسی از این نیروگاه را نداشته و به گفته آقای آمانو
наметавон ба яқин гуфт оё нерӯгоҳ дубора фаъъол шудааст ё на,نمی‌توان به یقین گفت آیا نیروگاه دوباره فعال‌شده‌است یا نه
нафари дигар маҷрӯҳ шудаанд,نفر دیگر مجروح‌شده‌اند
такрор нахоҳад шуд,تکرار نخواهد شد
Ӯ сафари худро ниматамом мегузорад ва имшаб ба Бритониё бозмегардад,او سفر خود را نیمه تمام می‌گذارد و امشب به بریتانیا باز می‌گردد
Артиши Ниҷерия эълом кард ҳудуди,ارتش نیجریه اعلام کرد حدود
Оқои Шариатмадорӣ дар тавҷеҳи истифода аз вожаи хушбахтона гуфт,آقای شریعتمداری در توجیه استفاده از واژه خوشبختانه گفت
қобили тардид нест,قابل تردید نیست
дастовардҳои ғайриҳастаӣ,دستاوردهای غیر هسته‌ای
идомаи он қобили тавҷеҳ аст,ادامه آن قابل توجیه است
"Ду тараф тавофуқ кардаанд, ки ҷузъиёти музокираро ифшо накунанд",دو طرف توافق کرده‌اند که جزئیات مذاکره را فاش نکنند
"аст, аз чиҳил сол пеш то кунун фаъъолият доштааст",است ، از چهل سال پیش تا کنون فعالیت داشته است
аз суи давлат ва ба намояндагӣ аз Толибон вориди гуфтугӯ хоҳанд шуд,از سوی دولت و به نمایندگی از طالبان وارد گفتگو خواهند شد
шаҳрванди Чин ва афроде аз,شهروند چین و افرادی از
кишвари дигар дар ҳавопаймо будаанд,کشور دیگر در هواپیما بوده‌اند
Толибони Покистон худ аз соли,طالبان پاکستان خود از سال
даргири шӯриши мусаллаҳона алайҳи давлати он кишвар будаанд,درگیر شورش مسلحانه علیه دولت آن کشور بوده اند
Баъдан абъоди бештаре аз фаъъолиятҳои ин созмон фош шуд,بعدتر ابعاد بیشتری از فعالیت‌های این سازمان فاش شد
Мардуми Ироқ барои интихоботи намояндагони маҷлиси,مردم عراق برای انتخابات نمایندگان مجلس
нафарии ин кишвар ба пойи сандуқҳои раъй рафтаанд,نفری این کشور به پای صندوق‌های رای رفته اند
Маскав ин иттиҳомро рад мекунад,مسکو این اتهام را رد می‌کند
"Бо тасвиби ин лоиҳа, ҷароими нақзи ин қонун аз",با تصویب این لایحه ، جرایم نقض این قانون از
ҳазор рубл барои ширкаткунандагон дар тазоҳурот ва,هزار روبل برای شرکت‌کنندگان در تظاهرات و
Амалиёти артиш барои дифоъ аз полоишгоҳи нафти Биҷӣ то имрӯз якшанбеи,عملیات ارتش برای دفاع از پالایشگاه نفت بیجی تا امروز یکشنبه
Ду ҳафта пеш як гирдбод дар иёлати Уклоҳумо сабаби тахриби,تنها دو هفته پیش ، یک گردباد در ایالت اوکلاهما سبب تخریب
Ҳамчунин ин ниҳод,همچنین این نهاد
-ро барои он кишвар ба армуғон овард ва ӯро ба унвони,را برای آن کشور به ارمغان آورد و او را به عنوان
булдузер,بولدوزر
мешиносанд,می‌شناسند
Чаро ки шояд касе нақшаҳои дигаре дошта бошад,چرا که شاید کسی نقشه‌های دیگری داشته باشد
Женерол Вол идома дод,ژنرال وال ادامه داد
Мақомҳои баландпояи мисрӣ гуфтугӯҳои кишварашон бо вузарои Русияро,مقام‌های بلندپایه مصری گفتگوهای کشورشان با وزرای روسیه را
"килуметрии шимоли ғарби Бағдод қарор дорад, ғорат шудаанд",کیلومتری شمال غرب بغداد قرار دارد ، غارت شده‌اند
"хондани рафтани интихобот ба даври дувум, гуфт ки",خواندن رفتن انتخابات به دور دوم ، گفت که
Мақомоти Миср мегӯянд дар хилоли тазоҳуроти ҳафтаи гузашта дар кишвар,مقامات مصر می‌گویند در خلال تظاهرات هفته گذشته در کشور
милюн муштарии Ҷи-пӣ Мургон дастрасӣ пайдо кардаанд,میلیون مشتری جی پی مورگان دسترسی پیدا کرده اند
Заҳро Ридвон аз гурӯҳи ҳуқуқибашарии,زهرا ردوان از گروه حقوق بشری
Раиси ҷумҳури Омрико  шаби гузашта,رئیس جمهور آمریکا شب گذشته
бо сарони кунгре дар бораи ин мавзӯъ ҷаласа дошт,با سران کنگره درباره این موضوع جلسه داشت
шаҳривар гуфт,شهریور گفت
"милёрд дулор бештар аз соли қабл аз он, яъне",میلیارد دلار بیشتر از سال قبل از آن یعنی
Шомгоҳи рӯзи ҷумъаи,شامگاه روز جمعه
"нафари дигар, аз ҷумла ду марзбони тоҷик, захмӣ шуданд",نفر دیگر ، از جمله دو مرزبان تاجیک ، زخمی شدند
"милиёрд дулор расида, дар ҳоле ки дар соли",میلیارد دلار رسیده ، در حالیکه در سال
"ин миқдор ба арзиши ду милёрд дулор мерасид, ки дар ҳудуди",این مقدار به ارزش دو میلیارد دلار می‌رسید که در حدود
дарсади афзоишро нишон медиҳад,درصد افزایش را نشان می‌دهد
фуқдони алоқаи кофӣ,فقدان علاقه کافی
"Ҳамчунин, дар ҷараёни",همچنین ، در جریان
амалиёти фаврӣ,عملیات فوری
адад силоҳи оташфишон ва,عدد سلاح آتشفشان و
Бар асоси омори Созмони ҷаҳонии беҳдошт аз миёни,براساس آمار سازمان جهانی بهداشت از میان
гуна саммӣ ҳастанд ва беш аз,گونه سمی هستند و بیش از
нафар дар Исроил шуданд,نفر در اسرائیل شدند
имконпазир нест,امکان‌پذیر نیست
Пешнависи мазкур барои,پیش نویس مذکور برای
таҳрими ҳадафманди,تحریم هدفمند
бародари оқои Рӯҳонӣ аз ҷумлаи ҳозирон дар солуни ҳамоиш буданд,برادر آقای روحانی از جمله حاضران در سالن همایش‌ها بودند
Давлат иттиҳоми тақаллуб дар раъйгириро рад кардааст,دولت اتهام تقلب در رای‌گیری را رد کرده است
миллиюн тун нафт ба Ҳинд имзо кардааст,میلیون تن نفت به هند امضا کرده است
Ин минтақаи нафтӣ бузургтарин манбаъи захоири Судон аст,این منطقه نفتی ، بزرگترین منبع ذخایر سودان است
Муассисаи Шаффоияти Байналмилал дар соли,موسسه شفافیت بین‌الملل در سال
Маркази ин муассиса дар Олмон аст,مرکز این موسسه در آلمان است
"Ӯ гуфт ки музокиракунандагони атумии Эрон талош мекунанд, ки",او گفت که مذاکره‌کنندگان اتمی ایران تلاش می‌کنند که
ҳарбаи таҳримро аз дасти душман бигиранд,حربه تحریم را از دست دشمن بگیرند
"Эллен Мейсон, аз бунёди қалби Бритониё мегӯяд",الین میسون ، از بنیاد قلب بریتانیا می‌گوید
Бештар бихонед,بیشتر بخوانید
нафарро гирифт,نفر را گرفت
Масъулияти ин рӯйдодро Толибон бар уҳда гирифтааст,مسئولیت این رویداد را طالبان برعهده گرفته است
дахолат,دخالت
дар умури дохилии худ кардааст,در امور داخلی خود کرده است
"Гузориш шудааст, ки бисёре аз шаҳр гурехтаанд",گزارش‌شده‌است که بسیاری از شهر گریخته اند
Вай аз чанд сол ба ин сӯ дар ин минтақа мустақар буд,وی از چند سال به این سو در این منطقه مستقر بود
Даҳ соъат пас аз ин ҳодиса боздоштҳо сурат гирифт,ده ساعت پس از این حادثه بازداشت‌ها صورت گرفت
ҳеч баҳонае барои вафодорӣ ба режим надоранд,هیچ بهانه‌ای برای وفادارای به رژیم ندارند
"Аз назари ман ин афв нест, балки беҳурматӣ аст",از نظر من این عفو نیست بلکه بی‌حرمتی است
Бо ин ки аз таърихи,با این که از تاریخ
нафар дар даргириҳои миёни ду тараф  кушта шудаанд,نفر در درگیری‌های میان دو طرف کشته شده‌اند
Гуфтугӯҳои дурӯза миёни мақомҳои ду кишвар бори дигар соъати,گفتگوهای دو روزه میان مقام‌های دو کشور بار دیگر ساعت
"рӯзи дигар комил шавад, то кунун ҳеҷ зане ҳузур надорад",روز دیگر کامل شود ، تا کنون هیچ زنی حضور ندارد
Ӯ шӯришиёнро ба нақзи оташбас муттаҳам кардааст,او شورشیان را به نقض آتش بس متهم کرده است
Ин нишаст эҳтимолан рӯзи душанбе баргузор мешавад,این نشست احتمالا روز دوشنبه برگزار می‌شود
мелодӣ ин таслиҳотро нобуд кунад,میلادی این تسلیحات را نابود کند
Ин таъаҳҳудот дар нишасти,این تعهدات در نشست
Гурӯҳи тамоси Либӣ,گروه تماس لیبی
"Ҳилорӣ Клинтун, вазири хориҷаи Омрико гуфт, ки рӯзҳои сарҳанг Қаззофӣ",هیلاری کلینتون ، وزیر خارجه آمریکا گفت که روزهای سرهنگ قذافی
Маскав дар бораи амалиёт ибрози нигаронӣ кардааст,مسکو درباره این عملیات ابراز نگرانی کرده است
шунуд мешудааст,شنود می‌شده است
Ин як мушкили бузург аст,این یک مشکل بزرگ است
Исроил мегӯяд пулис дар ҳоли таҳқиқ дар ин бора аст,اسرائیل می‌گوید پلیس در حال تحقیق در این باره است
Ин ҳизб то кунун,این حزب تاکنون
"номзад муъаррифӣ кардааст, ки дар тамоми",نامزد معرفی کرده است که در تمام
ҳавзаи интихоботии кишвар ширкат хоҳад кард,حوزه انتخاباتی کشور شرکت خواهد کرد
манофеъи муштарак,منافع مشترک
"дар шикаст додани Доъиш ҳастанд, аммо ҳамкорӣ надоранд",در شکست دادن داعش هستند اما همکاری ندارند
Давлати Сурия нооромиҳои ин кишварро ба,دولت سوریه ناآرامی‌های این کشور را به
Пулис мегӯяд,پلیس می‌گوید
Исроил бо ин иқдом башиддат мухолифат кардааст,اسرائیل با این اقدام به شدت مخالفت کرده است
Ба гуфтаи фармондеҳи пулиси Эрон сарнишинони ин ҳавопаймои думутураи,به گفته فرمانده پلیس ایران سرنشینان این هواپیمای دوموتوره
Турбу кумондур,توربو کماندر
ки аз Теҳрон роҳии Зоҳидон буда,که از تهران راهی زاهدان بوده
