tj,pers
Хосе Антонио Солано Морено,خوزه آنتونیو سولانو
Хосе Антонио Фернандес Помарес,خوزان (بازیکن فوتبال)
Хосе Антонио Эспин Пуэрта,خوزه آنتونیو اسپین
Хосе Аракистайн,خوزه اراکیستاتین
Хосе Аргойтия,خوزه ارگویا
Хосе Арнайс,خوزه آرنایز
Хосе Артече,خوزه آرتتسکه
Хосе Аурелио Ге,خوزه اورلیو گی
Хосе Аурелио Суарес,خوزه اورلیو سوارز
Хосе Аха,خوزه آخا
Хосе Балагер,پپه بالاگیر
Хосе Банйон,خوزه بانون
Хосе Баркеро,خوزه بارکرو
Хосе Барреиро (футболбоз),خوزه باریرو (بازیکن فوتبال)
Хосе Баррил,خوزه بارریل
Хосе Басуалдо,خوسه باسوالدو
Хосе Белинхи,خوزه بلینگی
Хосе Белман,خوزه بلمن
Хосе Бело Амиго,خوزه بلو امیگو
Хосе Белфорти,خوزه بلفورتی
Хосе Бенито Риос,خوزه بنیتو ریوس
Хосе Бордалас,خوزه بوردالاس
Хосе Браво,خوزه براوو
Хосе Буртовой,خوزه بورتووی
Хосе Бурука Лафория,خوزه بووکا لافوریا
Хосе Валдивиэсо,خوزه والدیوزو
Хосе Вале,خوزه واله
Хосе Ван Туйне,خوزه فان توین
Хосе Варакка,خوزه واراکا
Хосе Вега Диес,خوزه وگا (بازیکن فوتبال اسپانیا)
Хосе Видал (футболбоз),خوزه ویدال (بازیکن فوتبال)
Хосе Висенте Грекко,خوزه ویسنته گرکو
Хосе Вилалба,خوزه ویلالبا
Хосе Висенте Ледо,خوزه ویسنته لدو
Хосе Висенте Санчес,خوزه ویسنته سانچز
Хосе Висенте Трайн,خوزه ویسنته (بازیکن فوتبال)
Хосе Вискарра,خوزه ویزکاررا
Хосе Галван,خوزه گالوان
Хосе Галвес Эстевес,پپه گاوس
"Хосе Галего (футболбоз, тав. 1923)",خوزه گاگو (بازیکن فوتبال، زاده ۱۹۲۳)
Хосе Гарсия Калво,خوزه گارسیا کالوو
Хосе Гонсалво,خوزه گونزالوو
Хосе Д'анхело,خوزه دی‌انجلو
Хосе Даниэл Алварес,خوزه دانیل الوارز
Хосе Даниэл Валенсия,خوسه دانیل بالنسیا
Хосе Даниэл Карренйо,خوزه دنیل کارنیو
Хосе Даниэл Понсе,خوزه دنیل پونسه
Хосе Де Ла Куэста,خوزه د لا کوئستا
Хосе Девака,خوسه دواکا
Хосе Девекчи,خوزه دوکی
Хосе Дела Торре,خوزه دلا توره
Хосе Диас (футболбоз),خوزه دیاز (بازیکن فوتبال، زاده ۱۹۳۸)
Хосе Диас Пабло,خوزه دیاز پابلو
Хосе Диего Алварес (соли Таваллуд 1954),خوزه دیگو آلوارز
Хосе Диес Калеха,پپو کالخا
Хосе Дуранд Лагуна,خوزه داراند لاگونا
Хосе Залазар,خوزه زالازار
Хосе Замора,خوزه زامورا (بازیکن فوتبال، زاده ۱۹۸۸)
Хосе Иборра Бланко,خوزه ایبارا
Хосе Иглесяс Фернандес,خوزئیتو
Хосе Игнасио Айспуруа,اینیواکی ایزپورا
Хосе Игнасио Гармендия,خوزه ایگناسیو گارمندیا
Хосе Игнасио Заинос,خوزه زاینوس
Хосе Игнасио Кастило,خوزه ایگناسیو کاستیو
Хосе Игнасио Лопес Санхуан,سانخوان (بازیکن فوتبال)
Хосе Игнасио Саэнс,خوزه ایگناسیو (بازیکن فوتبال، زاده ۱۹۷۳)
Хосе Игнасио Солер,خوزه ایگناسیو سولر
Хосе Игнасио Франко,ناچو فرانکو
Хосе Игон,خوزه هیگن
Хосе Ирарагорри,خوزه ایراراگری
Хосе Исидоро,خوزه ایسیدورو
"Хосе Искиердо (футболбоз, тав. 1980)",خوزه ایزکیاردو (بازیکن فوتبال، زاده ۱۹۸۰)
"Хосе Искиердо (футболбоз, тав. 1992)",خوزه ایزکیردو (بازیکن فوتبال، زاده ۱۹۹۲)
Хосе Калдерон (футболбози панамӣ),خوزه کالدرون (بازیکن فوتبال)
Хосе Калехон,خوزه کایخون
Хосе Камот,خوزه چاموت
Хосе Кампаня,خوزه کامپانیا
Хосе Кантон,خوزه کانتن
Хосе Каняс,خوزه کاناس
Хосе Карвало,خوزه کاروایو
Хосе Кардосо,خوزه کاردوسو
Хосе Карлос Гранеро,خوزه کارلوس گرانرو
Хосе Карлос Рамирес Суарес,خوزه کارلوس (بازیکن فوتبال، زاده ۱۹۹۶)
Хосе Карлос Табарес,خوزه کارلوس تابارس
Хосе Карлос Фернандес Васкес,خوزه کارلوس (بازیکن فوتبال، زاده ۱۹۸۷)
Хосе Каррете Де Юлиан,خوزه کارته
Хосе Каррило Мансила,خوزه کاریلو
Хосе Касадо,خوزه کاسادو
Хосе Катала,خوزه کاتالان
Хосе Катрук,خوزه چاتوک
Хосе Каэйро,خوزه کایرو
Хосе Киранте,خوسه کیرانته
Хосе Кларамунт,خوزه کلارامونت
Хосе Ларраури,خوزه لاروری
Хосе Ласа,خوزه لاسا
Хосе Леандро Андраде,خوزه لئوناردو آندراده
Хосе Леон Бернал,خوزه لئون برنال
Хосе Лонкон,خوزه لانکون
Хосе Лопес Силва (футболбоз),خوزه لوپز سیلوا (بازیکن فوتبال)
Хосе Лопис Корона,په‌په کورونا
Хосе Луис Абланедо,خوزه لوئیس ابلاندو
Хосе Луис Астясаран,خوزه لوئیز استیادران
Хосе Луис Борха,خوزه لوئیز بورجا
Хосе Луис Браун,خوزه لوئیس براون
Хосе Луис Валдес,خوزه لوئیز والدز
Хосе Луис Вегар,خوزه لوئیس وگار
Хосе Луис Велосо,خوزه لوئیس ولوسو
Хосе Луис Вилагра,خوزه لوئیز ویلگرا
Хосе Луис Виларреал,خوزه لوئیس ویارئال
Хосе Луис Гайа,خوزه لوییس گایا
Хосе Луис Гарсия (футболбоз),خوزه لوئیز گارسیا (بازیکن فوتبال)
Хосе Луис Гарсия Вая,پپلو
Хосе Луис Гарсия Трайд,خوزه لوئیز گارسیا ترید
Хосе Луис Гомес (футболбоз),خوزه لوئیس گومز (بازیکن فوتبال)
Хосе Луис Гомес Уртадо,جوزلو (زاده ۱۹۹۰)
Хосе Луис Деус,خوزه لوئیس دوس
Хосе Луис Диас,خوزه لوئیس دیاز (بازیکن فوتبال، زاده ۱۹۷۴)
Хосе Луис Кабрера Кава,خوزه لوئیس کابررا (بازیکن فوتبال)
Хосе Луис Калдерон,خوزه لوئیس کالدرون
Хосе Луис Каминеро,خوزه لوییس کامینرو
Хосе Луис Кампи,خوزه لوئیس کامپی
Хосе Луис Капдевила,خوزه لوئیز کادویلا
Хосе Луис Капон,خوزه لوئیس کاپون
Хосе Луис Кусиуффо,خوزه لوئیس کوسیفو
Хосе Луис Лопес Пейнадо,خوزه لوئیس (بازیکن فوتبال، زاده ۱۹۴۳)
Хосе Луис Лорето,خوزه لوئیس لورتو
Хосе Луис Мамоне,خوزه لوئیس مامونه
Хосе Луис Марти,خوزه لوئیس مارتی
Хосе Луис Мартинес Гулотта,خوزه لوئیس مارتینز گولتا
Хосе Луис Мендилибар,خوزه لوئیس مندیلیبار
Хосе Луис Менчака,خوزه لوئیس منتاکا
Хосе Луис Миняно,خوزه لوئیس میانو
Хосе Луис Молинуэво,خوزه لوئیس مولینووو
Хосе Луис Монтес,خوزه لوئیس مونتس
Хосе Луис Моралес Мартин,خوزه لوئیس مورالس (بازیکن فوتبال زاده ۱۹۷۳)
Хосе Луис Моралес Ногалес,خوزه لوئیس مورالس (بازیکن فوتبال زاده ۱۹۸۷)
Хосе Луис Морено Барросо,جوزلو (زاده ۱۹۹۱)
Хосе Луис Мунйос Леон,لوئیس مونوز (بازیکن فوتبال)
Хосе Луис Олтра,خوزه لوئیس اولترا
Хосе Луис Павони,خوزه لوئیس پاوونی
Хосе Луис Паломино,خوزه لوئیس پالومینو
Хосе Луис Панисо,خوزه لوئیز پانیزو
Хосе Луис Перлаза,اوزی لویس پرلازا
Хосе Луис Покеттино,خوزه لوئیس پوچتینو
Хосе Луис Рибера,خوزه لوئیس ریبرا
Хосе Луис Родригес (футболбоз),خوزه لوئیس رودریگز (بازیکن فوتبال، زاده ۱۹۶۳)
Хосе Луис Ромеро (муррабии футбол),خوزه لوئیس رومرو (بازیکن فوتبال)
Хосе Луис Сантамария,خوزه لوئیز سانتاماریا
Хосе Луис Санчес (футболбоз),خوزه لوئیس سانچز (بازیکن فوتبال)
Хосе Луис Сапатеро,خوزه لوئیز رودریگز ساپاترو
Хосе Луис Себалос,خوزه لوئیس سبالوس
Хосе Луис Селае,خوزه لوئیز زالی
Хосе Луис Сенобуа Гарсия,سنا (بازیکن فوتبال)
Хосе Луис Сиерра,خوزه لوئیس سیرا
Хосе Луис Фернандес,خوزه لوئیز فرناندز
Хосе Луис Чилаверт,خوزه لوئیس چیلاورت
Хосе Мª Гарсия Лавила,خوزه ماریا (بازیکن فوتبال، زاده ۱۹۴۲)
Хосе Малео,خوزه مالو
Хосе Мануэл Айра,خوزه مانوئل ایرا
Хосе Мануэл Алканйис,خوزه مانوئل الکانیس
Хосе Мануэл Артилес,خوزه ارتلس
Хосе Мануэл Галдамес,خوزه مانوئل گالداس
Хосе Мануэл Гарсия (футболбоз),خوزه مانوئل گارسیا (بازیکن فوتبال)
Хосе Мануэл Гарсия Маурин,خوزه گارسیا (بازیکن فوتبال زاده ۱۹۹۷)
Хосе Мануэл Гарсия Наранхо,خوزه نارانجو (بازیکن فوتبال زاده ۱۹۹۴)
Хосе Мануэл Гонсалес Лопес,خوزه گونزالس
Хосе Мануэл Карраско Корреа,خوزه کاراسکو (بازیکن فوتبال، زاده ۱۹۸۸)
Хосе Мануэл Касадо,خوزه مانوئل کاسادو
Хосе Мануэл Кирога,خوسه مانوئل کیروگا
Хосе Мануэл Круз Ороско,خوزه کروز (بازیکن فوتبال اسپانیا)
Хосе Мануэл Лопес Гаспар,خوزه گاسپار (بازیکن فوتبال)
Хосе Мануэл Мартинес Торал,مانولو (بازیکن فوتبال، زاده ۱۹۶۰)
Хосе Мануэл Матео,خوزه مانوئل متئو
Хосе Мануэл Моралес,خوزه مانوئل مورالس
Хосе Мануэл Мореирас,خوزه مانوئل موریراس
Хосе Мануэл Морено,خوزه مانوئل مورنو
Хосе Мануэл Очоторена,خوزه مانوئل اوچوتورنا
Хосе Мануэл Перес Родригес,خوزه مانوئل پرز (بازیکن فوتبال)
Хосе Мануэл Песудо,خوزه مانوئل پزودو
Хосе Мануэл Пинто,خوزه مانوئل پینتو
Хосе Мануэл Родригес Моргаде,مانو (بازیکن فوتبال، زاده ۱۹۸۴)
Хосе Мануэл Рока Касес,خوزه مانوئل روکا
Хосе Мануэл Рохас Олмедо,خوزه مانوئل روخاس (بازیکن فوتبال زاده ۱۹۸۷)
Хосе Мануэл Руис Карраско,خوزه کاراسکو (بازیکن فوتبال، زاده ۱۹۹۴)
Хосе Мануэл Руэда,خوزه مانوئل رودا
Хосе Мануэл Санчес Гилен,خوزیما
Хосе Мануэл Семпере,خوزه مانوئل سمپر
Хосе Мануэл Серрано,خوزه سرانو (بازیکن فوتبال، زاده ۱۹۸۱)
Хосе Мануэл Фернандес Рис,خوزه مانوئل فرناندز
Хосе Мануэл Хименес Ортис,مانه (بازیکن فوتبال، زاده ۱۹۸۱)
Хосе Мануэл Хурадо,خوزه مانوئل خورادو
Хосе Мануэл Эрмоса Мелис,خوزه هرموسا
Хосе Мари,خوسه ماری
"Хосе Мари (футболбоз, тав. 1987)",خوزه ماری (بازیکن فوتبال، زاده ۱۹۸۷)
Хосе Мари Бакеро,خوزه ماری باکرو
Хосе Мари Гарсия,خوزه ماری گارسیا
Хосе Мария Амо,خوزه ماریا آمو
Хосе Мария Аморрорту,خوزه ماریا امورورتو
Хосе Мария Антон,خوزه ماریا انتون
Хосе Мария Аракистайн,خوزه ماریا اراکیستن
Хосе Мария Басанта,خوزه ماریا باسانتا
Хосе Мария Белаусте,خوسه ماریا بلائوستره
Хосе Мария Булхубасик,خوزه ماریا بولخوبایچ
Хосе Мария Видал,خوزه ماریا ویدال
Хосе Мария Гарсия Де Андойн,گارسیا د اندن
Хосе Мария Диас Мунйос,خوزه ماریا (بازیکن فوتبال، زاده ۱۹۸۲)
Хосе Мария Ермо,خوسه ماریا یرمو
Хосе Мария Заррага,خوزه ماریا زارگا
Хосе Мария Исаак Бехар,خوزه ماری (بازیکن فوتبال، زاده ۱۹۸۵)
Хосе Мария Кабо Пуиг,خوزه کابو
Хосе Мария Калво,خوزه ماریا کالوو
Хосе Мария Касес,خوزه ماریا کیس
Хосе Мария Кеведо,خوزه ماریا کودو
Хосе Мария Лорант,خوزه ماریا لورانت
Хосе Мария Магуреги,خوزه ماریا ماگوتری
Хосе Мария Мартинес (футболбоз),خوزه ماریا مارتینز (بازیکن فوتبال)
Хосе Мария Мартинес Лопес,خوزه مارتینز (بازیکن فوتبال، زاده ۱۹۴۲)
Хосе Мария Минела,خوسه ماریا مینشا
Хосе Мария Мовила,خوزه ماریا موویلا
Хосе Мария Пас (футболбоз),خوزه ماریا پاز (بازیکن فوتبال)
Хосе Мария Пеня,خوزه ماریا پنیا
Хосе Мария Салмерон,خوزه ماریا سالمرن
Хосе Мария Санчес Лахе,خوزه ماریا سانچز لاژ
Хосе Мария Себалос,خوزه ماریا چبالوس
Хосе Мария Села,خوزه ماریا سلا
Хосе Мария Силверо,خوزه ماریا سیلورو
Хосе Мартинес Сервера,خوزه مارتینز (بازیکن فوتبال، زاده ۱۹۸۳)
Хосе Маури,خوزه مائوری
Хосе Мендес (футболбоз),خوزه مندز (بازیکن فوتبال)
Хосе Мехяс,خوزه مخیاس
Хосе Мигел,خوزه میگل
Хосе Мигел Бермудес,خوزه برمودز
Хосе Мигел Куберо,خوزه میگوئل کوبرو
Хосе Мигел Моралес,خوزه میگوئل مورالس
Хосе Мигел Ногуэра,خوزه میگوئل نوگورا
Хосе Мигел Прието,خوزه میگوئل پریتو
Хосе Мингорансе,خوزه مینگورنس
Хосе Монтиел,اوزی مونتیل
Хосе Морагон,خوزه موراگون
Хосе Моралес Берригете,مولیرو (بازیکن فوتبال)
Хосе Моратон Таэнйо,خوزه موراتون
Хосе Море Бонет,په موره
Хосе Мугерса,خوزه موگورزا
Хосе Муркия,خوزه مورسیا
Хосе Насасси,خوزه نازاتسی
Хосе Ная,خوزه نایا
Хосе Неин,خوزه ناهین
Хосе Нунйес (футболбоз),خوزه نونیز (بازیکن فوتبال)
Хосе Ортигоса,خوزه اورتیگوزا
Хосе Оруэ,خوزه اوروه
Хосе Оскар Флорес,خوسه اسکار فلورس
Хосе Оя,خوزه اویا
Хосе Падрон,خوزه پادرون
Хосе Парра Мартинес,خوزه پارا مارتینز
Хосе Пасини,خوزه پاچینی
Хосе Пачеко Гомес,خوزه پاچکو (بازیکن فوتبال)
Хосе Педро Фуэнсалида,خوزه پدرو فوئنزالیدا
Хосе Педроса Галан,خوزه گالان
Хосе Пекерман,خوزه پکرمن
Хосе Перес Серер,په سریر
Хосе Пиендибене,خوزه پیندیبن
Хосе Планас Артес,خوزه پلاناس (بازیکن فوتبال، زاده ۱۹۰۱)
Хосе Планас Планас,خوزه پلاناس (بازیکن فوتبال، زاده ۱۹۵۲)
Хосе Пой,خوزه پوی
Хосе Поррас,خوزه پوراس
Хосе Пуиг Пуиг,کورتا (بازیکن فوتبال)
Хосе Рамон Алекснко,خوزه رامون الکسانکو
Хосе Рамон Галего,خوزه رامون گالگو
Хосе Рамон Гонсалес Перес,خوزه رامون (بازیکن فوتبال، زاده ۱۹۶۸)
Хосе Рамон Де Ла Фуэнте,خوزه رامون ده لا فونته
Хосе Рамон Родригес Гомес,خوزه رامون (بازیکن فوتبال زاده ۱۹۸۷)
Хосе Рамон Ромо,خوزه رامون رومو
Хосе Рамон Эйсменди,خوزه رامون ایازمندی
Хосе Рамон Эснаола,خوزه رامون اسناولا
Хосе Рамос Делгадо,خوزه راموس دلگادو
Хосе Раул Гутйеррес Парехо,رائول گوتی
Хосе Раул Иглесяс,خوزه رائول ایگلسیاس
Хосе Родригес Мартинес,خوزه رودریگز مارتینز
Хосе Ромера,خوزه رومرا
"Хосе Рохас (футболбоз, тав. 1983)",خوزه مانوئل روخاس
Хосе Салватиерра,خوزه سالواتیر
Хосе Саломон,خوزه سالومون
Хосе Сан Роман,خوزه سان رمان
Хосе Санд,خوزه سند
Хосе Сантамария,خوزه سانتاماریا
Хосе Сантос Ромеро,خوزه سانتوس رومرو
Хосе Санфилиппо,خوزه سن‌فیلیپو
Хосе Сасия,خوزه ساسیا
Хосе Саффер,خوزه شیفر
Хосе Себастян Васкес,خوزه سباستین واسکوز
Хосе Сеговия,خوزه سگوویا
Хосе Серризуэла,خوزه سریزولا
Хосе Силвано,خوزه سیلوانو
Хосе Соса,خوزه سوزا
Хосе Умар Пасториза,خوزه عمر پاستوریزا
Хосе Уфарте,خوزه اوفارته
Хосе Фабиан Рамирес,خوزه رامیرز (بازیکن فوتبال، زاده ۱۹۷۷)
Хосе Фаряс,خوزه فاریاس
Хосе Феликс Герреро,خوزه فلیکس گررو
Хосе Фернандо Куадрадо,خوزه فرناندو کوادرادو
Хосе Фернандо Мартинес Родила,خوزه فرناندو رودیلا
Хосе Феррер Селма,خوزه فرر (بازیکن فوتبال اسپانیا)
Хосе Франко Гомес,راینو (بازیکن فوتبال)
Хосе Франсиско Манйус,خوزه فرانسیسکو مانوز
Хосе Франсиско Молина,خوزه فرانسیسکو مولینا
Хосе Франсиско Мора,په مورا
Хосе Франсиско Рохо,تکسشو روخو
Хосе Франсиско Севалос,خوزه فرانسیسکو سوالوس
Хосе Хавйер Рубио,خاوی روبیو (بازیکن فوتبال، زاده ۱۹۸۴)
Хосе Хесус Ланса,خوزه خسوس لانزا
Хосе Хесус Месас,خوزه خسوس ماس
Хосе Хесус Перера,خسوس پررا
Хосе Хименес,خوزه خیمنز
Хосе Хуаким Матос Гарсия,خوزه خواکین ماتوس
Хосе Хуан Луке,خوزه خوان لوکه
Хосе Хуан Фигерас,خوزه خوان (بازیکن فوتبال، زاده ۱۹۷۹)
Хосе Хункоса,خوزه جانسا
Хосе Элой Хименес Морено,الوی خیمنز (بازیکن فوتبال)
Хосе Эмилио Амависка,خوزه امیلیو آماویسکا
Хосе Энрике (футболбоз),خوزه انریکه
Хосе Энтони Торрес,خوزه آنتونی تورس
Хосе Эулохио Гарате,خوزه یولوگیو گاراته
Хосе Юдика,خوزه یودیکا
Хосеба Арряга,خوزبا اریاگا
"Хосеба Ахирре (футболбоз, тав. 1964)",خوزبا اگری (بازیکن فوتبال زاده ۱۹۶۴)
"Хосеба Ахирре (футболбоз, тав. 1977)",خوزبا اگری (بازیکن فوتبال زاده ۱۹۷۷)
Хосеба Гармендия,خوزبا گارمندیا
Хосеба Дел Олмо,خوزیبا دل اولمو
Хосеба Залдуа,ژوزبا زلدوا
Хосеба Итуарте,خوزیبا ایوته
Хосеба Лоренте,خوزبا یورنته
Хосеба Эчеберрия,خوسبا اچبریا
Хосеми,خوزه‌می
Хосеп Мария Фусте,جوزپ فوسته
Хосеп Моратала,خوزپ مورتالالا
Хосеп Райч,خوزپ رایچ
Хосеп Самитиер,جوزپ سامیتیر
Хосеп Сегер,خوزپ سگر
Хосеп Сенйе,خوزپ سنیه
Хосеп Сетвалс,خوزپ ستولز
Хосеп Эскола,جوزپ اسکولا
Хосечо,یوستکسو
Хосико,یوزیکو
Ҳосил,برداشت
Хосу,خوسو
Хосу Сарриехи,یوسو ساریگی
Хосу Уррутия,یوسو اروشیا
Хосу Эрнаэс,یوسو هرنائز
Хосу Эснаола,یوسو اسناولا
Хосу Эчанис,یوسو اتزانیز
Хосэ Айяла,ژوزه ایالا
Хосэ Доррио,ژوسوئه دوریو
Хота (футболбоз),جوتا (بازیکن فوتبال اسپانیایی)
Хотираи берунии компютер,حافظه فقط خواندنی
Хотково,خوتکوفو
Хоф,خواف
Ҳофиз,حافظ
Хофре Матеу,جفره ماتا
Хоффре Геррон,جافره گوئرون
Хош,خاش
Хошеутово (ноҳияи Харабалинск),کوشئتوو
Хошимин,هوشی‌مین (شهر)
Хоэл Акоста,جوئل اکوستا
Хоэл Ариманй,جوئل اریمانی
Хоэл Барбоса,جوئل باربوسا
Хоэл Валенсия,جوئل والنسیا
Хоэл Карли,جوئل کارلی
Хоэл Кэмпбелл,جوئل کمپل
Хоэл Роблес,خوئل روبلس
Хоэл Саккс,جوئل ساکس
Хоэл Санчес Рамос,جول سانچز
Хоэл Ҷонсон (футболбоз),جوئل جانسون (بازیکن فوتبال)
Хоянда,جوندگان
Ҷазираи орзуҳо,جزیره آرزوها
Хоҷа Насриддин,ملا نصرالدین
"Хоҷа Тоҳир (деҳа, н. Деваштич)",خاجه توهیر (تاجیکستان)
Шақиқи Балхӣ,شقیق بلخی
Хоҷалӣ,خواجه‌لی
Хоҷиобод (Шаҳр),حاجی‌آباد (هرمزگان)
Хоҷуи Кирмонӣ,خواجوی کرمانی
Христиан фон Волф,کریستیان ولف
Христиан Голдбах,کریستین گلدباخ
Христофор Колумб,کریستف کلمب
Хром,کروم
Хромосома,کروموزوم
Хромистҳо,کرومیست‌ها
Хуаким (футболбоз),خواکین سانچز
"Хуаким (футболбоз, тав. 1956)",خواکین (بازیکن فوتبال، زاده ۱۹۵۶)
"Хуаким (футболбоз, тав. 1982)",خواکین (بازیکن فوتبال، زاده ۱۹۸۲)
Хуаким Алварес Алварес,کویینی (بازیکن فوتبال، زاده ۱۹۸۰)
Хуаким Арсура,خواکین ارزرا
Хуаким Богоссян,خواکین بوغوسیان
Хуаким Вале,خواکین واله
Хуаким Васкес,خوآکین باسکس
Хуаким Гарсия (футболбоз),خواکین گارسیا (بازیکن فوتبال)
Хуаким Дел Морал Санчес,خواگی
Хуаким Иригойтия,خواکین ایریگوییا
Хуаким Калдерон,خواکین کالدرون
Хуаким Капаррос,خواکین کاپاروس
Хуаким Корреа,خواکین کوره‌آ
Хуаким Ларривей,خواکین لاریوی
Хуаким Лопес (футболбоз),خواکین لوپز (بازیکن فوتبال آرژانتینی)
Хуаким Монтанйес,خواکین مونتانیس
Хуаким Мосо,خواکین موسو
Хуаким Мурило,خواکین موریلو
Хуаким Наварро Перона,خواکین ناوارو (بازیکن فوتبال)
Хуаким Парра,خواکین پارا
Хуаким Пастор Мартинес,خواکین پاستور
Хуаким Пейро,خواکین پیرو
Хуаким Перейра,خواکین پریرا
Хуаким Рикемберг,خواکین ریکمبرگ
Хуаким Рифе,یوآخیم رایف
Хуаким Соррибас Аринйо,خواکین سورریباس
Хуаким Уркуяга,خواکین اورکیاگا
Хуаким Фернандес Морено,خواکین فرناندز (بازیکن فوتبال، زاده ۱۹۹۶)
Хуаким Энрике Валерио,خواکین والریو
Хуан (футболбоз),خوان (بازیکن فوتبال)
Хуан Августо Гомес,خوان اگوستو گومز
Хуан Агилера Нунйес,خوان اگیلرا (بازیکن فوتبال اسپانیایی)
Хуан Агудело,خوان آگودلو
Хуан Акуня,خوان اکونیا
Хуан Алберто Счяффино,خوان آلبرتو شیافینو
Хуан Алберто Эстрада,خوان البرتو استرادا
Хуан Алехандро Абаурре,خوان الخاندرو ابریره
Хуан Алонсо,خوان الونسو
Хуан Ангел Албин,خوآن آنجل آلبین
Хуан Андрада,خوان اندرادا
Хуан Антонио,خوان انتونیو
Хуан Антонио Анкела,خوان آنتونیو انکیلا
Хуан Ипиня,خوان آنتونیو ایپینیا
Хуан Антонио Карселен,خوان آنتونیو کارسلین
Хуан Антонио Ларраняга,خوان آنتونیو لارانیاگا
Хуан Антонио Лопес Морено,ژوانین (بازیکن فوتبال، زاده ۱۹۵۸)
Хуан Антонио Осадо,خوان آنتونیو اوسادو
Хуан Антонио Писси,خوان آنتونیو پیزی
Хуан Антонио Родригес Дуфлос,ژوانین (بازیکن فوتبال، زاده ۱۹۳۷)
Хуан Антонио Роман Кастило,خوان آنتونیو رامون
Хуан Антонио Санйудо,خوان آنتونیو سانیودو
Хуан Антонио Сенйор,خوان آنتونیو سنیور
Хуан Антонио Уреня,خوان اورنیا
Хуан Антонио Чеса,خوان آنتونیو چسا
Хуан Аранго,خوان آرانگو
Хуан Армет,خوان آرمت
Хуан Арремон,خوان آرمون
Хуан Арса,خوان آرزا
Хуан Артола,خوآن آرتولا
Хуан Барбас,خوان بارباس
Хуан Бауза,خوان بوزا
Хуан Баутиста Агеро,خوآن باتیستا آگوئرو
Хуан Баэна,خوان بینا
Хуан Беленкосо,خوان بلنکوسو
Хуан Бернат,خوان برنات
Хуан Бетинотти,خوان بتینوتی
Хуан Билбао Минтехи,خوانین (بازیکن فوتبال، زاده ۱۹۰۰)
Хуан Босели,خوان بوسلی
Хуан Ботассо,خوان بوتاسو
Хуан Боттаро,خوان بوتارو
Хуан Браун,خوان براون
Хуан Брунетта (футболбоз),خوان برونتا (بازیکن فوتبال)
Хуан Бургенйо,خوان بورخوئنو
Хуан Вайро,خوان ویرو
Хуан Валера Эспин,خوان والرا (بازیکن فوتبال)
Хуан Васкес Тенрейро,خوان واسکوئز (بازیکن فوتبال)
Хуан Веласко Дамас,خوان ولاسکو داماس
Хуан Вилар,خوان ویلار
Хуан Вискайно,خوان ویزکینو
Хуан Габриэл Ривас,خوان گابریل ریواس
Хуан Гарсия Диас,ژوانین (بازیکن فوتبال، زاده ۱۹۴۰)
Хуан Гилермо Кастило,خوان گیرمو کاستیو
Хуан Гонсалес (футболбози уругвайӣ),خوان گونزالز
Хуан Грабовски,خوان گرابوفسکی
Хуан Грис,خوان گریس
Хуан Даниэл Галеано,خوان دانیل گالیانو
Хуан Дарио Батала,خوان داریو باتارالا
Хуан Де Диос Сервян Эскобар,خوان سرویان
Хуан Делгадо Сирвент,خوان دلگادو (بازیکن فوتبال اسپانیا)
Хуан Диас Прендес,خوان دیاز (بازیکن فوتبال، زاده ۱۹۷۷)
Хуан Диего Гонсалес Вихил,خوان دیگو گونزالز-ویگیل
Хуан Домингес Ламас,خوان دومینگز لاماس
Хуан Домингес Отаэги,خوان دومینگز (بازیکن فوتبال زاده ۱۹۸۳)
Хуан Доминго Браун,خوان دومینگو براون
Хуан Доминго Рокчия,خوان دومینگو روکیا
Хуан Замбудио Веласко,خوان ولاسکو
Хуан Замора,خوان زامورا
Хуан Зарате,خوان زاراته
Хуан Игнасио Брионес,خوان ایگناسیو بریون
Хуан Игнасио Диненно,خوان ایگناسیو دیننو
Хуан Игнасио Дума,خوان ایگناسیو دوما
Хуан Игнасио Каррера,خوان ایگناسیو کاررا
Хуан Игнасио Маре,خوان ایگناسیو ماره
Хуан Игнасио Мартинес,خوان ایگناسیو مارتینز
Хуан Игнасио Мерсиэр,خوان ایگناسیو مرسیه
Хуан Игнасио Силс,خوان ایگناسیو سیلز
Хуан Иларио Марреро,خوان هیلاریو ماررو
Хуан Имберт,خوان ایمببرت
Хуан Итурбе,خوان ایتوربه
Хуан Каваларо,خوان کاوالارو
Хуан Калатаюд,خوان کالاتیو
Хуан Камара,خوان کامارا
Хуан Камило Зунйига,خوان کامیلو زونیگا
"Хуан Карлос (футболбоз, тав. 1945)",خوان کارلوس (بازیکن فوتبال، زاده ۱۹۴۵)
"Хуан Карлос (футболбоз, тав. 1965)",خوان کارلوس (بازیکن فوتبال، زاده ۱۹۶۵)
"Хуан Карлос (футболбоз, тав. 1990)",خوان کارلوس (زاده ۱۹۹۰)
Хуан Карлос Абланедо,خوآن کارلوس آبلاندو
Хуан Карлос Агилера,کارلوس اگیلرا (بازیکن فوتبال اسپانیا)
Хуан Карлос Алварес,خوان کارلوس الوارز
Хуан Карлос Алмада,خوان کارلوس آلمادا
Хуан Карлос Арсе,جان کارلوس آرکی
Хуан Карлос Артече,خوان کارلوس ارچه
Хуан Карлос Балагер,خوان کارلوس بالاگیر
